date,close,high,low,open,quoteVolume,volume,weightedAverage
2018-01-26,1590.00000284,1678.09999997,1480.85360074,1622.19750991,2193.02482942,3439337.7372858,1568.30770502
2018-01-27,1626.16223672,1669.9896208,1559.27049345,1590.00000053,1389.47287217,2260382.9994808,1626.79174581
2018-01-28,1768.99448688,1790.0,1627.00000001,1627.00000001,2662.10632839,4608946.4368176,1731.31568324
2018-01-29,1659.99999971,1789.99999999,1632.17029104,1768.99419153,1534.8789199,2602416.931904,1695.51936518
2018-01-30,1469.03920585,1658.0,1458.0,1649.48900071,2265.35700633,3513552.835142,1550.99298932
2018-01-31,1493.85989219,1523.89999949,1401.00000001,1466.00250027,2360.63210828,3472168.7016045,1470.86396453
2018-02-01,1272.33704857,1506.26704373,1218.79669442,1494.80199999,3915.8301343,5228720.6037022,1335.27768681
2018-02-02,1191.05487908,1273.22768546,992.20000002,1273.22768546,5953.64709235,6900374.103828,1159.01631332
2018-02-03,1275.43934301,1320.01274054,1063.01599002,1198.41348772,3969.05344663,4609073.0782448,1161.25245986
2018-02-04,1154.94526097,1289.99999995,1095.0,1271.0,1763.20541984,2093820.2540398,1187.50783685
2018-02-05,890.77799987,1162.71968929,831.39133271,1154.94526098,5184.69477346,4886236.8593325,942.43481493
2018-02-06,964.18822643,976.54801198,758.56700047,890.0,10554.02257006,9273108.5510746,878.63262462
2018-02-07,947.77749875,1049.99999998,894.668,970.44200083,4711.08731116,4545989.0472059,964.95538013
2018-02-08,1286.84921374,1359.99999999,940.01744522,954.0,10464.58961143,12762658.446878,1219.60429608
2018-02-09,1297.50335817,1345.99999999,1191.58645345,1281.0,3970.86197303,5053980.325494,1272.76655794
2018-02-10,1237.05515649,1384.76999998,1190.02906142,1305.00335549,2664.38923074,3419066.3732419,1283.24583127
2018-02-11,1203.01392802,1300.86394356,1182.27253698,1237.05515649,1722.69313267,2114097.0549794,1227.2046686
2018-02-12,1277.77400001,1294.99999999,1203.01392805,1214.99999955,1109.68096042,1401286.9192455,1262.78360107
2018-02-13,1218.46655896,1287.64071012,1192.33050009,1277.77400001,1336.49026141,1634169.5992276,1222.73214135
2018-02-14,1353.41405867,1379.89999999,1218.46655896,1223.35999606,3091.01602133,4026606.0644559,1302.68042503
2018-02-15,1356.99999997,1392.0000012,1305.0,1353.41405867,2278.31389236,3074343.4140324,1349.39413938
2018-02-16,1529.99999998,1547.99999996,1350.0,1356.99999997,3899.87919171,5771874.233309,1480.01359774
2018-02-17,1538.764843,1550.46273527,1495.90000001,1536.99999991,1892.25057272,2896136.5552976,1530.52486655
2018-02-18,1445.90000123,1630.0,1390.00000002,1540.0,2855.21138096,4301167.0987331,1506.42685421
2018-02-19,1512.51640806,1546.99999996,1445.90000159,1445.90000159,1348.49913825,2035050.3420457,1509.12246387
2018-02-20,1380.5,1550.0,1374.98677252,1512.09758477,5115.47004836,7653097.9234027,1496.06934476
2018-02-21,1286.75460666,1404.88420907,1252.73143421,1380.5,6614.52268923,8743293.646949,1321.8328907
2018-02-22,1211.9867928,1340.0,1171.00000001,1279.85764376,3847.40770308,4692764.5119688,1219.7211406
2018-02-23,1259.94999934,1309.0,1146.1001,1205.0,4312.54750714,5315948.9587643,1232.67023724
2018-02-24,1179.70705473,1298.99999973,1130.00000052,1255.69000001,2003.14733856,2357332.2133331,1176.81419032
2018-02-25,1168.9570461,1199.99999998,1132.0,1179.70705471,1533.62473922,1783767.7394179,1163.10574145
2018-02-26,1242.88349581,1271.58399999,1137.95704611,1167.95704611,1836.06486607,2206161.1218313,1201.57035984
2018-02-27,1232.53,1295.75034596,1216.68600001,1242.8799998,1526.27477093,1918868.5928525,1257.22355463
2018-02-28,1197.93761097,1276.80626995,1196.68123,1231.25014679,1037.58094089,1277923.8438211,1231.63773876
2018-03-01,1283.0,1309.0,1185.48599991,1198.05740467,2495.94193901,3188662.6188242,1277.53877964
2018-03-02,1273.78797536,1303.0,1251.72484906,1283.00000006,1923.40016611,2461716.5389323,1279.87747027
2018-03-03,1273.4865,1298.99999999,1269.0,1273.78797536,645.11364024,830605.72454981,1287.53396725
